1;Bulbasaur;294;216;216;251;251;207
2;Ivysaur;324;245;247;284;284;240
3;Venusaur;364;289;291;328;328;284
4;Charmander;282;223;203;240;218;251
5;Charmeleon;320;249;236;284;251;284
6;Charizard;360;293;280;348;295;328
7;Squirtle;292;214;251;218;249;203
8;Wartortle;322;247;284;251;284;236
9;Blastoise;362;291;328;295;339;280
10;Caterpie;294;174;185;152;152;207
11;Metapod;304;152;229;163;163;174
12;Butterfree;324;207;218;306;284;262
13;Weedle;284;185;174;152;152;218
14;Kakuna;294;163;218;163;163;185
15;Beedrill;334;306;196;207;284;273
16;Pidgey;284;207;196;185;185;232
17;Pidgeotto;330;240;229;218;218;265
18;Pidgeot;370;284;273;262;262;331
19;Rattata;264;232;185;163;185;267
20;Raticate;314;287;240;218;262;322
21;Spearow;284;240;174;177;177;262
22;Fearow;334;306;251;243;243;328
23;Ekans;274;240;205;196;227;229
24;Arbok;324;295;260;251;282;284
25;Pikachu;274;229;196;218;218;306
26;Raichu;324;306;229;306;284;350
27;Sandshrew;304;273;295;152;174;196
28;Sandslash;354;328;350;207;229;251
30;Nidorina;344;245;256;229;229;232
31;Nidoqueen;384;311;300;273;295;276
33;Nidorino;326;267;234;229;229;251
34;Nidoking;366;333;278;295;273;295
35;Clefairy;344;207;214;240;251;185
36;Clefable;394;262;269;317;306;240
37;Vulpix;280;199;196;218;251;251
38;Ninetales;350;276;273;287;328;328
39;Jigglypuff;434;207;152;207;163;152
40;Wigglytuff;484;262;207;295;218;207
41;Zubat;284;207;185;174;196;229
42;Golbat;354;284;262;251;273;306
43;Oddish;294;218;229;273;251;174
44;Gloom;324;251;262;295;273;196
45;Vileplume;354;284;295;350;306;218
46;Paras;274;262;229;207;229;163
47;Parasect;324;317;284;240;284;174
48;Venonat;324;229;218;196;229;207
49;Venomoth;344;251;240;306;273;306
50;Diglett;224;229;163;185;207;317
51;Dugtrio;274;284;218;218;262;372
52;Meowth;284;207;185;196;196;306
53;Persian;334;262;240;251;251;361
54;Psyduck;304;223;214;251;218;229
55;Golduck;364;289;280;317;284;295
56;Mankey;284;284;185;185;207;262
57;Primeape;334;339;240;240;262;317
58;Growlithe;314;262;207;262;218;240
59;Arcanine;384;350;284;328;284;317
